KA5-class;texture class;Sand(%);Silt(%);Clay(%);Wilting Point;Field capacity;Bulk density
Tt;Clay;20;10;70;0.345357;0.560432;1089.951
St3;Sandy Clay Loam;70;10;20;0.111386;0.233878;1347.594
Ls3;Loam;50;30;20;0.108142;0.263361;1312.238
Lu;Silt Loam;20;60;20;0.103415;0.31515;1259.204
Uu;Silt  ;4;87;9;0.082338;0.32578;1338.801
Lt2;Clay Loam;30;35;35;0.165213;0.359505;1201.276
Uu1;Silty Clay;10;50;40;0.191412;0.420727;1147.879
Uu2;Silt;10;85;5;0.081534;0.33573;1428.82
Uu3;Silt;10;80;10;0.082797;0.319742;1335.173
Uu4;Silt Loam;15;70;15;0.090127;0.312579;1289.232